recordid,forminserted,formupdated,inspector,reportdate,reservation,sitelocation,facility,locationinfonumber,locationtype,itemlocation,latitude,longitude,deficiency,recommendation,additionalnotes,level,image1,image2,image3,completed
78,8/1/16 16:15,9/29/16 12:54,Jesse E. Schook,8/1/16 0:00,Brecksville Reservation,Ottawa Point Picnic Area,Ottawa Point Reserved Picnic Shelter,1,Parking,Parking lot,41.301588,-81.599992,Stone parking lot is not really firm and stable (302.1); Slopes exceed 3% on north side (403.3); No van accessible sign provided (502.6); No accessible spots (208),Provide accessible route; Regrade; Add signs; Add 1 accessible parking and 1 van spot,"Approximately 27 spaces, none marked as accessible.",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_86.jpg,,,TRUE
71,7/22/16 9:44,9/29/16 6:28,Sara B. Maier,7/13/16 0:00,Brecksville Reservation,Harriet Keeler Picnic Area,Harriet Keeler Restrooms,1,Parking,Parking for Harriet Keeler - constitutes the parking on the north side of Chippewa Creek Dr.,41.319346,-81.616048,3 ADA marked spots are not signed (502.6),"Place 2 accessible parking signs and 1 accessible van sign 60"" aff ","There are 33 regular parking spaces, one of which is quasi-ADA with a painted aisle next to it but no painted disabled parking or sign at the western end of the lot. There are three ADA marked spaces near the picnic shelter, which is compliant with parking requirements. ADA parking spots require one to wheel into the roadway to reach the accessible route, but this is not a deficiency.",Unassigned,https://my.cmparks.net/getattachment/Departments/Planning-Design/ADA-Reports/IMG_0067.JPG,,,TRUE
73,8/1/16 10:19,9/28/16 13:47,Tammy M. Oliver,8/1/16 0:00,Bedford Reservation,Hemlock Creek Picnic Area,Hemlock Creek Picnic Shelter,1,Parking,Parking lot near Hemlock Creek shelter,41.375706,-81.574033,"Missing van signage (502.6); parking signs mounted too low at 42""(502.6); cross slope exceeds 4% in various locations (502.4); all spaces concentrated near access route to shelter and should be spaced out (502.3)",Add signage; raise signs; level out pavement; add/relocate an ADA space near CXT and picnic area,"61 total parking spaces, 1 handicap",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_57.jpg,,,FALSE
75,8/1/16 11:34,9/29/16 7:16,Sara B. Maier,8/1/16 0:00,Brecksville Reservation,Meadows Picnic Area,Meadows Picnic Shelter,1,Parking,Meadows parking,41.314877,-81.618588,"No ADA parking sign (502.6); No ADA van space identified (208.2.4); Another parking spot near the playground acts as a de facto spot, but there is no ADA sign (502.6) (it also does not have an accessible route to anything); Garbage cans are off-path and outside the reach range (402): “Mutt Mitt” station is not located on an accessible route and was 52” aff (402, 308.2.1); Gaps exist that are >1/2” horizontal width (302.3); Cross-slope 4.5% (502.4)",Add ADA parking sign; Sign spot as ADA van accessible as it is wide enough and has an 8’ walkway; Utilize as ADA spot or remove; Move garbage receptacles; Move “Mutt Mitt” station; Fill gaps or replace paving; Correct slope,Counting the spaces closest to the picnic shelter and play field only: 18 total parking spaces (1 ADA). There are an additional 25 parking spaces (1 ADA) for the open-air picnic tables and playground sprinkled through the area.,Moderate,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_61.jpg,,,TRUE
76,8/1/16 12:34,9/29/16 7:14,Sara B. Maier,8/1/16 0:00,Brecksville Reservation,Chippewa Creek Gorge Overlook Picnic Area,Chippewa Creek Gorge Overlook Picnic Shelter,2,Parking,Overlook Shelter Parking Area,41.31968,-81.62182,Accessible signs not high enough (502.6) and are placed across from the spots on existing walls/fencing; No van accessible sign (208.2.4); Not level up to 4.5% (502.4),Move signs to correct location; Add van accessible sign; Repave,32 total parking spots (2 ADA accessible),Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_73.jpg,,,TRUE
82,8/5/16 11:19,8/5/16 11:19,Steve V. Mather,8/5/16 0:00,Mill Stream Run Reservation,Royalview Picnic Area,Royalview Reserved Picnic Shelter,2,Bathroom,Bathroom,41.301612,-81.80333,"accessible path from shelter and lot slope = 2.2%; missing signage; doors opening weight = 15lbs; 52"" side approach for door with closer 404.2.4.1; no insulated pipe on sink (606.5); inadequate knee clearance under sink; ""ADA"" stall a disaster. Nothing right including dimensions; floor slopes to floor drain at 4.3%; no fist operable sink in women's room",insulate pipe; replace sink or otherwise ensure knee clearance; Burn it all down; level floor; replace faucet,,Unassigned,,,,FALSE
83,8/16/16 10:56,8/16/16 11:26,Kelly B. Coffman,8/16/16 0:00,North Chagrin Reservation,Old River Farm Picnic Area,Old River Farm Reserved Picnic Shelter,3,Parking,Upper and Lower Parking,41.574875,-81.417983,Upper has 32 spots incl 1 ADA; Lower has 24 spaces no ADA; Upper sign too high,Upper add one van spot; Lower add one van spot; lower existing sign and add signs for new spots,,Serious,,,,TRUE
84,8/16/16 11:49,8/16/16 12:12,Kelly B. Coffman,8/16/16 0:00,North Chagrin Reservation,Squires Castle Picnic Area,Squires Castle,1,Parking,Main Parking,41.582632,-81.416961,91 Total spaces with 4 ADA incl 2 van all signs too low otherwise ok,"Raise bottom of each sign to 60""",,Minor,,,,TRUE
85,8/16/16 13:36,8/16/16 14:26,Kelly B. Coffman,8/16/16 0:00,North Chagrin Reservation,Strawberry Picnic Area,Strawberry Picnic Shelter,1,Parking,Parking and accessible route,41.579241,-81.429827,"103 spaces, 2 ADA, no van; signs less than 60""; no path to ball diamond","Add 3 ADA spots incl one van; raise signs to 60""; remove ball diamond",,Moderate,,,,TRUE
85,8/16/16 13:36,8/16/16 14:26,Kelly B. Coffman,8/16/16 0:00,North Chagrin Reservation,Strawberry Picnic Area,Strawberry Picnic Shelter,4,Bathroom,On route from pkg to shelter,41.579654,-81.428693,"Head clearance less than 80"" from side; rear grab bars non compliant due to angled walls; tp in wrong location; floor slope exceeds cross slope; no compliant signs; no closers/ hinges; 1"" lip on walk approaching","Rearrange access to approach from front; eventually replace; move tp so center is 7-9"" in front of seat; add compliant signs on sides of doors; replace hinges or add closer; mud jack slab or replace",Replace with CXT OR run sewer line and add flush,Serious,,,,TRUE
86,8/16/16 15:10,8/16/16 15:10,Kelly B. Coffman,8/16/16 0:00,North Chagrin Reservation,Squires Castle Picnic Area,Squires Castle Romtec Restrooms,1,Bathroom,Rooted,41.582066,-81.417594,"Side approach has limited head clearance; no signs; gap exceeding 1/2"" at threshold; hinges don't close; tp incorrect placement",Remove rail and orient approach from front; add signs on sides of doors; fill or grind edge of slab; replace hinges; move tp to front of toilet,Ideally replace with CXT or flush facility,Moderate,,,,TRUE
88,8/17/16 7:55,9/26/16 11:55,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,Maple Grove Picnic Area,Maple Grove Romtec Restrooms,1,Bathroom,Maple Grove Romtec,41.404795,-81.883995,"1"" gap between sidewalk approach and Romtec slab (302.3); Romtec unit has typical deficencies that cannot be modified like all other Romtecs (604.3.1); No signage (703); Drinking fountain not a high/low unit (602.7)",Fill gap prior to replacing Romtek;  Replace Romtec with CXT; Add restroom signage (temporary measure); Replace drinking fountain with high/low,,Moderate,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_167.jpg,,,FALSE
90,8/17/16 8:50,9/26/16 12:40,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,Lewis Road Riding Ring,Lewis Road Picnic Shelter,1,Parking,Lewis Field Parking Lot,41.400562,-81.893173,No accessible parking though there is one sign present in the dirt/gravel lot (502),Unmarked lot so need to determine informal capacity to direct how many accessible spaces are required,"Visitation to this facility appears low.  Although, it is unique with the riding arena and scorers booth.  Gravel parking lot has no parking blocks and is used for vehicular parking along with horse trailers.  Need to determine the capacity of the parking lot in order to determine the minimum number of ADA spots required.",Serious,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_158.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_164.jpg,,FALSE
91,8/17/16 9:34,9/26/16 13:13,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,Cedar Point Picnic Area,Cedar Point Romtec Restrooms,1,Parking,Parking lot along roadway at Cedar Point intersection,41.406951,-81.886001,No designated (or paved) ADA parking spot (208),Add one paved ADA spot and loading zone where maintenance acccess drive leaves Valley Parkway,,Moderate,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_157.jpg,,,FALSE
91,8/17/16 9:34,9/26/16 13:13,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,Cedar Point Picnic Area,Cedar Point Romtec Restrooms,2,Bathroom,Cedar Point Romtec,41.407575,-81.886688,"Romtek has the many typical ADA deficiencies, cannot be modified (604); No signage (703); No accessible path from parking (402)",Replace Romtek with CXT; Add signage; Improve existing rutted gravel path to Romtek with paved accessible route. Grades look acceptable between parking and Romtek,Grades look acceptable on existing gravel pathway between parking and Romtek.  Need to improve with pavement,Serious,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_156.jpg,,,FALSE
94,8/17/16 10:45,9/27/16 11:19,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,Cottonwood Picnic Area,Cottonwood Picnic Area Romtec Restrooms,1,Bathroom,Cottonwood Picnic Area Romtec,41.432741,-81.848482,Romtec has typical deficiencies that cannot be modified (604); no signage (703),Replace Romtec with CXT; Add signage,Accessible path to Romtec also serves as accessible path to a drinking fountain beyond the Romtec,Moderate,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_153.jpg,,,FALSE
94,8/17/16 10:45,9/27/16 11:19,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,Cottonwood Picnic Area,Cottonwood Picnic Area Romtec Restrooms,4,Parking,Parking area adjacent to Romtec and drinking fountain,41.433075,-81.84881,No designated ADA space (208),Locate ADA space near Romtek by signing a space and converting adjacent space to an access aisle,Although the parking lot has two ADA spaces a dedicated space should be provided as close as possible to the Romtec unit and baseball fields.  The two ADA spaces now currently serve the pavilion on the other side of the parking lot (which is ok).,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_151.jpg,,,FALSE
95,8/17/16 10:56,9/29/16 12:09,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,West Creek Large Program Picnic Area,West Creek Restroom Building,1,Bathroom,Keystone Men's restroom,41.390888,-81.69171,"Signage missing raised/Braille(703); door pressure too high at 10 lbs(309.4); sink bowl obstructing knee clearance by 1/2""(306.3.3); urinal flush control too high(605); stall door not self closing(604.9); both grab bars too high at 37""(604.5); toilet paper 10"" forward of seat(604.7); baby changing table in stall does not have clear floor space (308)",Add Braille signage; adjust door pressure; replace or adjust sink; lower flush control; adjust door closing; lower grab bars; move or add another toilet paper holder; relocate baby changing table,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_99.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_100.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_101.jpg,FALSE
95,8/17/16 10:56,9/29/16 12:09,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,West Creek Large Program Picnic Area,West Creek Restroom Building,2,Bathroom,Keystone women's bathroom,41.39086,-81.691705,"No Braille signage(703); sink does have proper knee clearance by 1"" (606); stall grab bars too high(604.5); stall door is not self closing(604.9); baby changing table does not have clear floor space(308)",Replace signage; adjust or replace sink; lower grab bars; adjust door closer; relocate baby changing table,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_102.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_103.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_104.jpg,FALSE
95,8/17/16 10:56,9/29/16 12:09,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,West Creek Large Program Picnic Area,West Creek Restroom Building,4,Parking,Parking lot serving Keystone shelter and restrooms,41.390956,-81.691254,Missing van signage(502.6); cross slope exceeds at 3% in locations (502.4),Add van sign;  re-grade slope,2 accessible parking spaces; 47 total spaces,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_106.jpg,,,FALSE
96,8/17/16 11:16,9/26/16 13:05,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,Cottonwood Picnic Area,Cottonwood Picnic Shelter,1,Parking,Cottonwood Picnic Shelter Parking,41.432845,-81.848783,Missing signage for van accessible ADA space (502.6),Add signage for van accessible space,,Minor,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_147.jpg,,,FALSE
98,8/17/16 11:50,9/29/16 12:49,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,Watershed Leadership Center,Watershed Leadership Center,1,Parking,Parking lot serving watershed center and monarch picnic,41.390208,-81.696195,One space needs van signage(502.6); cross slope only in eastern most space exceeds at 3% (502.4),Add Van sign to space closest to center; re-grade one location,"143 spaces counted (including gravel area), 6 of which are labeled accessible.",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_107.jpg,,,FALSE
98,8/17/16 11:50,9/29/16 12:49,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,Watershed Leadership Center,Watershed Leadership Center,2,Other,Confluence Room,41.389713,-81.695436,No accessible room signage(703); sink and cabinets are out of reach range (308),Add signage; add second lower sink or replace counter,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_110.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_111.jpg,,FALSE
98,8/17/16 11:50,9/29/16 12:49,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,Watershed Leadership Center,Watershed Leadership Center,3,Other,Upland and Wetland classrooms ,41.389713,-81.695436,"Room signage not accessible; sink, cabinets, counter are out of reach ranges (36"" counter); ",Add signage; add accessible sink or lower counter; ,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_112.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_113.jpg,,FALSE
98,8/17/16 11:50,9/29/16 12:49,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,Watershed Leadership Center,Watershed Leadership Center,5,Bathroom,Women's restroom inside leadership center,41.389764,-81.69557,Signage not accessible; ,Move to latch side and add Braille; ,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_115.jpg,,,FALSE
98,8/17/16 11:50,9/29/16 12:49,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,Watershed Leadership Center,Watershed Leadership Center,6,Bathroom,Men's restroom inside leadership center,41.389809,-81.695417,"Signage not accessible; needle disposal mounted too high at 60""; baby changing table does not have clear floor space; urinal does not have 30"" clear floor space; ",Move to latch side and add Braille; lower needle disposal; relocate changing table; relocate partition to provide proper clear floor space; ,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_116.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_117.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_118.jpg,FALSE
98,8/17/16 11:50,9/29/16 12:49,Tammy M. Oliver,8/17/16 0:00,West Creek Reservation,Watershed Leadership Center,Watershed Leadership Center,7,Other,Research laboratory,41.389648,-81.695403,"Signage not accessible; all counters are too high at 36""",Add Braille signage to latch side of door; add or replace a counter to be accessible height; ,,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_119.jpg,,,FALSE
101,8/17/16 12:15,8/17/16 14:35,Kelly B. Coffman,8/17/16 0:00,North Chagrin Reservation,North Chagrin Management Center,North Chagrin Ranger Station and Restrooms,2,Bathroom,Restroom @ side of Ranger Sta,41.569927,-81.437678,"Sidewalk/pavement issues see other notes + old pay phone is protruding object; path lacks turning space @ entry (47"", 48"" min req'd); Door hardware; no Sign Braille; overall dims of room 58"" x 95""; no rear and side 54"" grab bars; flusher on wrong side; TP too high and too far fwd; towels 54""; Bathroom door opening width 31""","Replace concrete pavers and timber ending and install new concrete walk; remove pay phone; widen path along wall to 60"" and rework entry canopy; replace hardware with lever; add new Braille restroom sign; reconfigure door opening to min. 32"" clear.  Best recommendation for this particular restroom is to remove it in it's entirety.",Require,Serious,,,,TRUE
102,8/17/16 12:42,8/17/16 12:48,Kelly B. Coffman,8/17/16 0:00,North Chagrin Reservation,Forest Picnic Area,Forest Picnic Shelter,1,Parking,Along Main Rd. - see AB Williams for lot,41.561614,-81.432048,35 spots incl 2 ADA no van; signs too low; large pothole and drain pipe in asphalt accessible route to shelter; sign indicates 15 min parking in access aisle,"Designate one ADA as van spot; add van sign and raise signs to 60""; repair asphalt path to provide smooth surface; remove drop off sign OR designate a new drop off zone away from ADA aisle and relocate sign",,Minor,,,,TRUE
103,8/17/16 12:53,8/17/16 12:53,Kelly B. Coffman,8/17/16 0:00,North Chagrin Reservation,Forest Picnic Area,Forest Romtec Restroom,1,Bathroom,Near AB Williams lot,41.561794,-81.431477,"Slab bad, doors rusted, tank structure bad, insufficient clearance @ side entices, lacking signs",REPLACE,,Critical,,,,TRUE
104,8/17/16 13:04,9/27/16 14:03,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,South Mastick Picnic Area,South Mastick Picnic Shelter,1,Other,3 Panel Signage Kisok,41.4341,-81.846479,"Insufficient circulation around 3-panel signage kiosk, minimum turning space of 60"" from each post (304)","Switch to single panel or increase width of pad surrounding sign, minimum of 60"" in each direction ","Accessible route to sign kiosk, South Mastick Pavilion and CXT is FANTASTIC!",Moderate,https://my.cmparks.net/IntranetPortal/media/ADAImages/southmastickkiosk.jpg,,,FALSE
104,8/17/16 13:04,9/27/16 14:03,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,South Mastick Picnic Area,South Mastick Picnic Shelter,2,Parking,South Mastick Pavilion Parking,41.434346,-81.846506,"Need van accessible stall sign on existing ADA Space (502.6); Lot of 207 spaces requires 7 accessible stalls but only 4 are present, 2 here and 2 serving River Shelter (208)",Install van accessible stall sign; Identify 3 locations for additional accessible spaces throughout the parking lot to best serve the site and all of the features,Pavement condition could be improved but can be addressed during the next time the lot is paved.  When developing ADA parking space layouts consider all facilities at this site (i.e. a space may be warranted by baseball field).,Moderate,,,,FALSE
107,8/17/16 13:36,9/28/16 12:33,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,South Mastick Picnic Area,River Picnic Shelter,6,Parking,ADA Parking - River Picnic Shelter,41.435516,-81.844435,"East space needs van parking signage (502.6); East space's access aisle too narrow by 6"" (502.3); Dip exists in pavement transition between parking lot and APT, grades in excess of 8% (403.3); Need one additional ADA parking space to meet mininum amount for South Mastick Picnic Area Parking Lot;","Add van sign to van space (eastern most space nearest river); Restripe eastern most space's access aisle to be 96"" minimum; Repair dip in pavement at transition from parking lot to APT; Potentially add one additional ADA parking space adjacent to existing two ADA spaces",Separate reports suggest two (2) separate locations to add the necessary required minimum ADA spaces.  See reports for South Mastick Pavilion,Moderate,,,,FALSE
109,8/17/16 14:25,8/17/16 14:28,Steve V. Mather,8/17/16 0:00,Brookside Reservation,Brookside Park Picnic Area,Brookside Reserved Picnic Shelter,1,Other,Shelter,41.449952,-81.721418,North grill and prep table too high (902); don't have 4 ft clear around (1011.2.1); reserved shelter sign and outlet covers are protruding objects (307); ,Lower or replace;  remove or expand pad; move; ,,Unassigned,,,,FALSE
110,8/17/16 14:43,9/28/16 11:55,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,North Mastick Picnic Area,North Mastick Picnic Shelter,1,Parking,Parking Lot,41.439465,-81.846331,Insufficient quantity of ADA spaces (208); One existing spot is signed but has no marked access aisle (502.3),Convert existing spots to add a van accessible spot; Bring existing spot into compliance by striping an access aisle,"Parking lot currently has 51 spaces and one (1) ADA space.  When the existing spots are modified to address the need for ADA spots, the parking count will be 49, thus requiring two (2) ADA spots.  Condition of pavement at transition from asphalt parking lot to concrete accessible route to Romtek needs attention as it is deteriorating and slopes to existing circular catch basin.",Moderate,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_130.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_131.jpg,,FALSE
111,8/17/16 14:52,9/26/16 11:13,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,North Mastick Picnic Area,North Mastick Romtec Restrooms,1,Bathroom,Romtec,41.439352,-81.846315,Romtec structure does not meet ADA and cannot be reasonbly modified (604.3); missing signage (703),Replace with CXT; Add signage - temporary measure,Pavement condition at transition from parking lot to accessible path to Romtec need attention,Serious,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_128.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_129.jpg,,FALSE
112,8/17/16 15:38,9/23/16 13:28,Sean E. McDermott,8/17/16 0:00,Rocky River Reservation,Sycamore Picnic Area,Sycamore Reserved Picnic Shelter,1,Parking,Parking Lot,41.440941,-81.846009,"No van parking sign, although space meets van requirements (502.6)",Add van ADA parking spot sign,,Minor,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_126.jpg,,,FALSE
113,8/17/16 17:26,9/28/16 15:58,Christopher W. Cheraso,8/17/16 0:00,Bedford Reservation,Egbert Picnic Area,Egbert Picnic Shelter,1,Parking,Parking,41.384601,-81.53931,"Missing 1 van sign, 1 car sign (502.6);  existing car signs (502.6) too low at 44""",provide missing signs; raise existing signs,"82 parking spaces, 4 ADA (3 car, 1 van), consider providing access route separate from parking area.",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_1469.JPG,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_1470.JPG,,TRUE
114,8/18/16 11:31,9/28/16 14:45,Christopher W. Cheraso,8/18/16 0:00,Bedford Reservation,Forbes Woods,Forbes Woods CXT Restrooms,1,Parking,Parking,41.373085,-81.504473,"van space not wide enough at 121"" (502.2), no access aisle (502.3); van sign not provided (502.6); existing sign too low at 45"" (502.6)",restripe parking lot to provide van space; restripe parking lot to provide access aisle; provide van sign at appropriate height; provide new post to raise appropriate sign,"need to use driveway to get to route to CXT, 9 total spaces, 1 handicap",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_19.JPG,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_1481.JPG,,TRUE
115,8/18/16 11:46,9/28/16 13:37,Christopher W. Cheraso,8/18/16 0:00,Bedford Reservation,Gorge Overlook,Gorge Overlook CXT Restrooms,1,Parking,Parking,41.377344,-81.55882,"provide van accessible space extg. space 108"", access route 91""(502.2); need van accessible sign (502.6); cross slope exceeds 6.8% (403.3)",restripe parking lot to allow van space or access route; provide van accessible sign; address cross slope,Need to cross street to access CXT. ,Serious,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_1486.JPG,https://my.cmparks.net/IntranetPortal/media/ADAImages/IMG_1487.JPG,,TRUE
116,8/19/16 10:19,9/28/16 17:33,Tammy M. Oliver,8/19/16 0:00,Huntington Reservation,Huntington Beach,Huntington Beach CXT Restroom,2,Parking,Lot associated with CXT and accessible beach route,41.490168,-81.931129,"Signs mounted too low, bottom at 42"" (502.6); cross slope of lot exceeds at up to 3.5% in various locations (403.3)",Raise signs; re-grade lot,"6 ADA spaces, no regular parking spaces available",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_171.jpg,,,FALSE
117,8/19/16 11:19,9/28/16 17:36,Tammy M. Oliver,8/19/16 0:00,Huntington Reservation,Lake Picnic Area,Water Tower Concession Building,1,Parking,Main Parking lot associated with concessions and lake shelter,41.490224,-81.935059,"Signs are too low at 42""(502.2); dispersion of spaces could be re-worked to shift the 2 middle spots closer to concessions and shelter (206.2.1); no Van space close to concession(206.2.1); threshold to access route by middle 2 spaces is too steep (403.2)",Raise signs; re-stripe lot; add Van signage; re-grade asphalt by threshold,"2 emergency parking spaces; 187 total spaces (112 in east section, 75 in west section) 6 handicap spaced 2 at east end, 2 at west end and 2 in middle.  Most of the amenities are at the east end of the parking lot.  Some overlook seating and picnic tables are at west end,",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_174.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_175.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_176.jpg,FALSE
117,8/19/16 11:19,9/28/16 17:36,Tammy M. Oliver,8/19/16 0:00,Huntington Reservation,Lake Picnic Area,Water Tower Concession Building,2,Other,Access route from eastern parking spaces to concessions,41.490305,-81.934289,"Pavement has rough settling near parking spaces (303.2, 302.3); there are divots in the center plaza by historic signage (303.2, 302.3);",Cut and re-pour section; fill divots,This access route also serves the water tower restrooms,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_177.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_178.jpg,,FALSE
119,8/19/16 12:19,9/28/16 17:38,Tammy M. Oliver,8/19/16 0:00,Huntington Reservation,Lake Picnic Area,Water Tower Restrooms,1,Bathroom,Women's and Men's bathrooms,41.490204,-81.933737,"Door width too narrow at 30"" (404.2.3); no accessible stall or parts (308, 604.9) ;no signage(703)",Remove wood framing if possible because concrete is wide enough; renovate interior to allow for accessibility; add signage,Three unisex ADA portable toilets are provided,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_185.jpg,,,FALSE
120,8/19/16 13:25,9/28/16 17:12,Tammy M. Oliver,8/19/16 0:00,Huntington Reservation,Lake Picnic Area,Huntington Bathhouse and Restrooms,1,Bathroom,Men's and Women's restrooms,41.489023,-81.932792,"Both facilities are not accessible (signage, entrance width, stall, lavatory, mirrors, etc) (404, 606, 308, 703, 605, 604.9, 604.5,604.7)",Renovate or replace facility,Stalls don't have any doors! :o,Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_5.jpeg,,,FALSE
120,8/19/16 13:25,9/28/16 17:12,Tammy M. Oliver,8/19/16 0:00,Huntington Reservation,Lake Picnic Area,Huntington Bathhouse and Restrooms,2,Parking,Parking lot near bathhouse,41.489244,-81.935483,"No ADA space (208), one Van sized space is needed(208); no signage or labeling (502.6703.7.2.1)",Re-strips to add an ADA Van space; add signage,"Lot has 8 spaces, no ADA spaces",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_195.jpg,,,FALSE
121,8/19/16 13:42,9/28/16 17:27,Tammy M. Oliver,8/19/16 0:00,Huntington Reservation,Wolf Picnic Area,Wolf Reserved Picnic Canopy,1,Parking,Parking lot associated with Wolf picnic area,41.486431,-81.934235,"No signage on 2 spots(502.6); sign height on 2 spaces is too low at 42""(502.6); indicate a Van space(502.6, 208.2)",Add signage; raise signage; add Van signage,"83 total spaces, 4 are accessible.  Parking lot serves picnic canopy, shelter and CXT.  2 spaces are near canopy, 2 spaces are near CXT and shelter",Unassigned,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_186.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_190.jpg,,FALSE
124,8/23/16 10:19,9/27/16 10:36,Sean E. McDermott,8/23/16 0:00,Rocky River Reservation,Scenic Park,Scenic Park Picnic Shelter,2,Parking,Parking Lot for Scenic Park Picnic Area - Parking lot starts west of the boat slip exit drive stop sign,41.478293,-81.832556,76 spaces and only 2 ADA parking spots exist (208); Signage missing for spots (502.6); No van accessible designation - dimensions of existing space ok (502.6); North space has running slope of 3.3% and access aisle and south space has running slope of 4.5% (502.4),"Convert one spot to ADA space, that will raise ADA count to 3 but reduce available to 74; Install new ADA parking signage; Install van accessible signage; Modify slopes when repaving and see notes for accessible route modifications needed","76 total parking spaces.  Dimenions of existing spaces ok, but slopes exceed minimums.  See notes regarding accessible path barriers.",Moderate,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_245.jpg,https://my.cmparks.net/IntranetPortal/media/ADAImages/image_246.jpg,,FALSE
128,8/23/16 11:21,8/23/16 11:21,Kelly B. Coffman,8/23/16 0:00,North Chagrin Reservation,Manakiki Golf Course,Romtec Toilet near No 15 Green,1,Bathroom,Rename #13,41.601189,-81.428423,"Sign on door; rear grab bar and wall do not comply; no 60"" turn radius inside; is accessible route needed from cart path?",Add sign with Braille at door; replace entire restroom - only way to comply; verify,Should restroom accommodate single rider cart? Is accessible route needed to restroom from cart path?,Minor,,,,TRUE
